Date Sent,Target,Type,Contact,Email,Subject Line,Status,Follow-up Date,Link Acquired,DA,Anchor Text,Notes
# === HOW TO USE THIS TRACKER ===
# 1. Copy a row from directory-submissions.csv (for directory/guest post pitches) or outreach-templates.md (for operator emails)
# 2. Paste it here
# 3. Fill in: Date Sent, Contact, Email, Subject Line
# 4. Update Status: Pending / Sent / Replied / Approved / Rejected
# 5. Set Follow-up Date = Sent Date + 5 days
# 6. After 30 days, count approved rows. <5 = rewrite pitch. >15 = add 10 more targets.
#
# Status values:
#   Pending - identified target, not yet contacted
#   Sent - email submitted
#   Replied - got a response (any kind)
#   Approved - link is live
#   Rejected - declined or no response after 2 follow-ups
#
# Date format: YYYY-MM-DD
# === TIER 1 (start Saturday June 21) ===
2026-06-21,Casino.org Canada,Guest Post,(TBD contact form),,Free Ontario-only sub-list for Casino.org,Pending,,N,70,PlayCanadianCasino.ca,Highest priority - DA 70 + topical fit
2026-06-21,Global News Canada,Sponsored,,,Regulated vs Unregulated angle for 2026 list,Pending,,N,68,PlayCanadianCasino.ca,Sponsored section accepts pitches
2026-06-21,Toronto Star Sponsored,Sponsored,,,Refresh of 2026 Canadian gambling sites list,Pending,,N,72,PlayCanadianCasino.ca,
2026-06-21,Canadian Gaming Business,Op-Ed,,,Op-ed: 91% channelization and what it means,Pending,,N,55,PlayCanadianCasino.ca,Trade pub - op-ed path
2026-06-21,Sumsub,Quoted Source,,,Quoted source for Canada gambling laws update,Pending,,N,60,PlayCanadianCasino.ca,Soft link - get cited in next update
2026-06-21,Responsible Gambling Council,Research Cite,,,Channelization article as citable research,Pending,,N,58,PlayCanadianCasino.ca,NEW 2026 target
2026-06-21,BLG Gaming Law,Quoted Source,,,Quoted source for Canada iGaming update,Pending,,N,68,PlayCanadianCasino.ca,NEW 2026 target - law firm blog
# === TIER 2 (start Saturday June 21 afternoon) ===
2026-06-21,OCB Global,Directory,,,Submit site,Pending,,N,35,PlayCanadianCasino.ca,Quick submit
2026-06-21,GPWA,Directory,,,Submit site,Pending,,N,50,PlayCanadianCasino.ca,Requires license disclosure
2026-06-21,StatsDrone,Directory,,,Submit site,Pending,,N,42,PlayCanadianCasino.ca,Newer site - more receptive
2026-06-21,iGaming Business,Press Release,,,AGCO enforcement data,Pending,,N,60,PlayCanadianCasino.ca,Trade pub - press release path
2026-06-21,GamblingNews.com,Press Release,,,91% channelization press release,Pending,,N,65,PlayCanadianCasino.ca,Top DA trade pub
2026-06-21,Casinobeats,Guest Post,,,Free 1500-word piece on AGCO enforcement,Pending,,N,55,PlayCanadianCasino.ca,
2026-06-21,SBC News,Guest Post,,,Ontario market coverage pitch,Pending,,N,50,PlayCanadianCasino.ca,
# === TIER 3 (Saturday June 28) ===
2026-06-28,BonusFinder CA,Directory Inclusion,,,Top Casinos inclusion pitch,Pending,,N,45,PlayCanadianCasino.ca,
2026-06-28,OnCompare,Directory,,,Submit site,Pending,,N,25,PlayCanadianCasino.ca,
2026-06-28,Ephpp Canada,Directory,,,Submit site,Pending,,N,38,PlayCanadianCasino.ca,
2026-06-28,Sports Gambling Podcast,Directory Inclusion,,,Re-pitch for 15 newest list,Pending,,N,42,PlayCanadianCasino.ca,
2026-06-28,AGCO Public Consultations,Public Comment,,,Submit public comment on open consultation,Pending,,N,80,PlayCanadianCasino.ca,NEW - high authority, slow path
# === TIER 4 (Saturday July 5) ===
2026-07-05,Crunchbase,Business Profile,,,Add company profile,Pending,,N,90,PlayCanadianCasino.ca,15 min
2026-07-05,Clutch,Business Profile,,,Add profile,Pending,,N,85,PlayCanadianCasino.ca,15 min
2026-07-05,ProductHunt,Product Launch,,,Ship comparison/decision hub as launch,Pending,,N,91,PlayCanadianCasino.ca,Only if comparison hub is built
# === TIER 5 (long game, register-only) ===
# Casinomeister - register forum account, do NOT post links for 60+ days
# r/AGCO, r/OntarioGambling, r/iGaming, r/onlinegambling - register, add to profile, comment for 60+ days
# === OPERATOR EMAILS (Template 2B, send Saturday June 21 afternoon) ===
2026-06-21,Jackpot City Casino,Operator Featured,affiliates@jackpotcity.ca,affiliates@jackpotcity.ca,Jackpot City Ontario review - quick ask + stat,Pending,,N,50,PlayCanadianCasino.ca,Largest audience - send first
2026-06-21,Betway,Operator Featured,affiliates@betway.ca,affiliates@betway.ca,Betway Ontario review updated - sports betting,Pending,,N,55,PlayCanadianCasino.ca,Casino + sports vertical
2026-06-21,Royal Vegas Casino,Operator Featured,partners@royalvegas.ca,partners@royalvegas.ca,Royal Vegas in updated Ontario top-casinos list,Pending,,N,50,PlayCanadianCasino.ca,Longest history
2026-06-21,Spin Casino,Operator Featured,affiliates@spincasino.ca,affiliates@spincasino.ca,Spin Casino Ontario - featured in top-list,Pending,,N,48,PlayCanadianCasino.ca,Mid-tier
2026-06-21,Ruby Fortune Casino,Operator Featured,affiliates@rubyfortune.ca,affiliates@rubyfortune.ca,Ruby Fortune in our Ontario coverage,Pending,,N,40,PlayCanadianCasino.ca,Smallest of the 5 - hardest sell
# === TOTALS ===
# Total targets: 28 directories + 5 operator emails = 33 outreach actions
# Expected approved after 30 days: 8-12 directories + 1-2 operator pages + 1-2 guest posts = 10-16 backlinks
# Expected after 90 days: 15-20 directories + 3-5 guest posts + 5+ trade pub mentions = 23-30 backlinks
